К здоровью и долголетию с природой Сибири.,http://addssites.com/page.php?id=24123,дата - 05.03.2012, рейтинг - 491,"Сайт консультанта корпорации Сибирское здоровье в Астрахани. Продукция для оздоровления и красоты из экологически чистого сырья Сибири, Алтая, о. Ольхон. Корпорация имеет собственное современное производство и научный центр."
Сертификационного центра «Мостест».,http://addssites.com/page.php?id=25848,дата - 01.04.2012, рейтинг - 367,"Сертификация - подтверждение соответствия продукции (процесса) требованиям нормативно-технической документации, осуществленное третьей стороной (аккредитованным органом по сертификации)."
Сайт офтальмолога Аскеровой Севиндж Мустаджабовны.,http://addssites.com/page.php?id=24654,дата - 11.03.2012, рейтинг - 348,"Сайт содержит информацию о специализации, профессиональных навыках, современных методах и технологиях терапевтического и хирургического лечения глазных заболеваний, а также эстетической и лечебной пластике глаза и лица."
"Массажные кровати ТераМакс, Акупунктура, Су Джок терапия.",http://addssites.com/page.php?id=103,дата - 01.12.2009, рейтинг - 345,"Наша компания предлагает массажные кровати ТераМакс - Theramax.Ru. Китайская Чжень-цзю терапия, массаж, аюрведа, прижигание, лечение природными камнями и минералами. Theramax.Ru"
Полное обследование организма.,http://addssites.com/page.php?id=22536,дата - 13.02.2012, рейтинг - 341,Полное обследование организма в Москве. Центр обследования здоровья предлагает Вам пройти полное обследование организма за 1 день методом Оберон диагностики здоровья.
Счастливое 11 - каждый найдет что-то для себя!,http://addssites.com/page.php?id=26317,дата - 05.04.2012, рейтинг - 337,"Наш сайт поможет вам разобраться в себе, найти те вещи, которые бы делали вашу жизнь интересней. Мы готовы выслушать все ваши вопросы и дать соответствующие советы. Будем очень благодарны за ваш интерес и внимание!"
Психологический Центр Интеграция.,http://addssites.com/page.php?id=24904,дата - 12.03.2012, рейтинг - 324,"Психологический Центр Интеграция, оказывает широкий спектр услуг в области семейной психотерапии, устранении панических атак, тренингов по детской психологии, проводит семинары по телесно-ориентированной терапии."
Справочник народной медицины.,http://addssites.com/page.php?id=26059,дата - 02.04.2012, рейтинг - 323,"Лекарственные растения были неотъемлемой частью древней практики здравоохранения на протяжении веков. Сегодня современная медицина признает, лекарственные травы, как альтернативные и дополнительные методы лечения для целого ряда условий."
Стоматология в Невском районе СПб.,http://addssites.com/page.php?id=24863,дата - 12.03.2012, рейтинг - 307,"Стоматология находится в Невском районе недалеко от м. Проспект Большевиков на ул. Чудновского, 10 лит. А (ТЦ `Чудный`). Мы предоставляем полный спектр стоматологических услуг."
"Болезни, заболевания,медицина.",http://addssites.com/page.php?id=24649,дата - 11.03.2012, рейтинг - 291,"Мы поможем вам держать себя в тонусе. Подскажем о распространенных заболеваниях, а также о методах их лечения. Вместе с нами, Вы всегда будете здоровы и полны энергии."
